,RMSE
0,0.7502009772043587
1,0.7502009772043587
2,0.7502009772043587
3,0.22429793178044322
4,0.22429793178044322
5,0.22429793178044322
6,0.22429793178044322
7,0.22429793178044322
8,0.22429793178044322
9,0.22429793178044322
10,0.22429793178044322
11,0.12814468824895545
12,0.12814468824895545
13,0.12814468824895545
14,0.12814468824895545
15,0.12814468824895545
16,0.12814468824895545
17,0.12814468824895545
18,0.12814468824895545
19,0.12443623586594978
20,0.12443623586594978
21,0.12443623586594978
22,0.12443623586594978
23,0.08556357174663065
24,0.08556357174663065
25,0.08556357174663065
26,0.08556357174663065
27,0.08556357174663065
28,0.08556357174663065
29,0.08556357174663065
30,0.08556357174663065
31,0.08155939817372757
32,0.08155939817372757
33,0.08155939817372757
34,0.07173972134188666
35,0.07173972134188666
36,0.07173972134188666
37,0.07173972134188666
38,0.07173972134188666
39,0.07173972134188666
40,0.07173972134188666
41,0.07173972134188666
42,0.07173972134188666
43,0.07173972134188666
44,0.07173972134188666
45,0.07173972134188666
46,0.07173972134188666
47,0.07163834846391089
48,0.07163834846391089
49,0.07163834846391089
