,0,,RF,RMSE,0.693877551,,,XG,RMSE,0.306122449,,¼¯³ÉÑ§Ï°
0,0.693877551,,0,3.065167996,2.126852639,,,0,0.725508435,0.222094093,,2.348946732
1,0.306122449,,1,3.065167996,2.126852639,,,1,0.725508435,0.222094093,,2.348946732
,,,2,3.065167996,2.126852639,,,2,0.725508435,0.222094093,,2.348946732
,,,3,0.625722299,0.434174938,,,3,0.725508435,0.222094093,,0.656269031
,,,4,0.625722299,0.434174938,,,4,0.645348077,0.197555244,,0.631730182
,,,5,0.625722299,0.434174938,,,5,0.645348077,0.197555244,,0.631730182
,,,6,0.625722299,0.434174938,,,6,0.645348077,0.197555244,,0.631730182
,,,7,0.625722299,0.434174938,,,7,0.645348077,0.197555244,,0.631730182
,,,8,0.625722299,0.434174938,,,8,0.645348077,0.197555244,,0.631730182
,,,9,0.625722299,0.434174938,,,9,0.645348077,0.197555244,,0.631730182
,,,10,0.625722299,0.434174938,,,10,0.645348077,0.197555244,,0.631730182
,,,11,0.249030039,0.172796465,,,11,0.645348077,0.197555244,,0.370351709
,,,12,0.249030039,0.172796465,,,12,0.51735249,0.158372979,,0.331169444
,,,13,0.249030039,0.172796465,,,13,0.51735249,0.158372979,,0.331169444
,,,14,0.249030039,0.172796465,,,14,0.51735249,0.158372979,,0.331169444
,,,15,0.249030039,0.172796465,,,15,0.51735249,0.158372979,,0.331169444
,,,16,0.249030039,0.172796465,,,16,0.51735249,0.158372979,,0.331169444
,,,17,0.249030039,0.172796465,,,17,0.51735249,0.158372979,,0.331169444
,,,18,0.249030039,0.172796465,,,18,0.51735249,0.158372979,,0.331169444
,,,19,0.214946995,0.149146991,,,19,0.51735249,0.158372979,,0.30751997
,,,20,0.214946995,0.149146991,,,20,0.51735249,0.158372979,,0.30751997
,,,21,0.214946995,0.149146991,,,21,0.51735249,0.158372979,,0.30751997
,,,22,0.214946995,0.149146991,,,22,0.51735249,0.158372979,,0.30751997
,,,23,0.214946995,0.149146991,,,23,0.51735249,0.158372979,,0.30751997
,,,24,0.214946995,0.149146991,,,24,0.51735249,0.158372979,,0.30751997
,,,25,0.214946995,0.149146991,,,25,0.51735249,0.158372979,,0.30751997
,,,26,0.214946995,0.149146991,,,26,0.51735249,0.158372979,,0.30751997
,,,27,0.214946995,0.149146991,,,27,0.51735249,0.158372979,,0.30751997
,,,28,0.214946995,0.149146991,,,28,0.51735249,0.158372979,,0.30751997
,,,29,0.214946995,0.149146991,,,29,0.51735249,0.158372979,,0.30751997
,,,30,0.214946995,0.149146991,,,30,0.32336405,0.09898885,,0.24813584
,,,31,0.214946995,0.149146991,,,31,0.32336405,0.09898885,,0.24813584
,,,32,0.214946995,0.149146991,,,32,0.32336405,0.09898885,,0.24813584
,,,33,0.205580006,0.142647443,,,33,0.32336405,0.09898885,,0.241636293
,,,34,0.205580006,0.142647443,,,34,0.32336405,0.09898885,,0.241636293
,,,35,0.205580006,0.142647443,,,35,0.32336405,0.09898885,,0.241636293
,,,36,0.205580006,0.142647443,,,36,0.32336405,0.09898885,,0.241636293
,,,37,0.189543783,0.131520261,,,37,0.32336405,0.09898885,,0.230509111
,,,38,0.189543783,0.131520261,,,38,0.32336405,0.09898885,,0.230509111
,,,39,0.189543783,0.131520261,,,39,0.32336405,0.09898885,,0.230509111
,,,40,0.189543783,0.131520261,,,40,0.293096049,0.089723149,,0.22124341
,,,41,0.189543783,0.131520261,,,41,0.293096049,0.089723149,,0.22124341
,,,42,0.189543783,0.131520261,,,42,0.293096049,0.089723149,,0.22124341
,,,43,0.189543783,0.131520261,,,43,0.293096049,0.089723149,,0.22124341
,,,44,0.189543783,0.131520261,,,44,0.293096049,0.089723149,,0.22124341
,,,45,0.189543783,0.131520261,,,45,0.293096049,0.089723149,,0.22124341
,,,46,0.189543783,0.131520261,,,46,0.293096049,0.089723149,,0.22124341
,,,47,0.189543783,0.131520261,,,47,0.293096049,0.089723149,,0.22124341
,,,48,0.188443845,0.130757038,,,48,0.293096049,0.089723149,,0.220480187
,,,49,0.188443845,0.130757038,,,49,0.293096049,0.089723149,,0.220480187
